pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec
540.0,5.7,2456954.021,,5200.0,0.94,,240.9764776,-26.5537396
,12.81,2456954.01476,0.3511,,1.947,,240.9764776,-26.5537396
1.4408,,2456892.93824,1.64,4154.0,1.58859,,246.4912542,-26.0104676
0.841202,82.0,2456894.5837,,6237.0,2.31,3.85,244.1720262,-25.9805673
0.8411257,0.884,2456894.581,0.015,4289.0,0.66,,244.1629354,-25.8700704
0.17566,3.11,2456933.98649,,6620.0,1.15,4.19,243.9553734,-25.8184824
29.33873041,,2456924.706267,1.277,3171.0,0.528528,4.71253,240.6852933,-25.725743
22.7984,9.0,2456915.2749,,6195.0,1.37,4.18,246.2660064,-25.6524338
1.68027,2.9,2456894.9732,0.0262,,1.275,,253.038729,-25.5306763
2.54427583,,2456897.208968,0.012,8188.0,3.23826,3.71913,252.2223357,-25.5079566
0.7099504,80.0,2456894.83267,1.6512,,2.065,,239.2255102,-25.4738433
1.8204,,2456893.29525,0.5,3112.0,0.5139,4.72526,242.6317089,-25.2672637
2.809,,2456894.71338,4.73,2901.0,0.474383,4.75991,244.1277536,-25.2057083
1.404411,99.0,2456893.30715,,6933.0,2.02,4.02,244.1277536,-25.2057083
1.4044283,3.66,2456894.711,7.26,2721.0,0.12,,244.1277536,-25.2057083
3.400858,14.1,2456895.09284,0.3404,,0.983,,252.8617981,-25.0535105
3.4007758,5.57,2456895.094,0.331,5520.0,0.89,,252.8617981,-25.0535105
,7.51,2456915.62427,0.3145,,1.249,,242.5734559,-24.9906029
,,2456949.203,0.5701,3095.0,,,253.4260962,-24.9408867
8.2781,,2456893.60226,0.26,6520.0,,,247.1370292,-24.7987348
8.2758,10.2,2456901.8925,,5926.0,1.6,4.16,247.1370292,-24.7987348
8.2766395,0.724,2456901.895,0.371,2586.0,0.11,,247.1370292,-24.7987348
0.6199,,2456894.6,2.52,2978.0,0.596423,4.65423,242.4702944,-24.6983209
28.46762,37.0,2456918.54638,3.1445,,1.97,,253.2473212,-24.6262888
28.465633,18.4,2456918.548,3.09,5700.0,0.96,,253.2473212,-24.6262888
4.5417,,2456893.76827,7.19,2897.0,0.641751,4.61636,244.3290388,-24.6219639
83830.0,12.0,2456946.278,,4000.0,0.74,,244.3807553,-24.437006
8.79689,4.85,2456898.2838,0.0527,,2.047,,253.0328697,-24.3879636
1.153886,99.0,2456893.5812,,6841.0,1.8,4.09,252.4227596,-24.3737862
1.6398934,33.0,2456895.547,14.6,5175.0,0.79,,243.8244349,-24.3192726
1.486243,58.0,2456894.1967,,5991.0,1.87,3.984,252.2438413,-23.8914989
23.210585,5.7,2456913.627,0.419,5244.0,0.81,,242.7532415,-23.840347
23.21037,15.3,2456913.62734,0.4533,,1.207,,242.7532415,-23.840347
1.330023,44.0,2456895.58549,0.2836,,2.4,,253.1042177,-23.5694775
50.73641,10.31,2456895.16594,0.3938,,1.349,,242.3657824,-23.5545059
